codgeo;annee;nb_familles_enf;nb_familles_mono_enf
97301;2022;129.31;49.03
97302;2022;12748.33;7711.34
97303;2022;295.18;110.07
97304;2022;4727.52;2233.45
97305;2022;3783.27;1953.09
97306;2022;1665.98;613.6
97307;2022;7065.05;3515.05
97308;2022;774.64;165.83
97309;2022;5183.39;2144.77
97310;2022;488.18;193.79
97311;2022;8471.26;5132.94
97312;2022;514.68;237.71
97313;2022;656.4;252.08
97314;2022;22.77;11.39
97352;2022;22.58;7.53
97353;2022;858.13;534.15
97356;2022;325.74;31.74
97357;2022;1237.68;791.41
97358;2022;5.7;0.0
97360;2022;1394.96;1217.15
97361;2022;209.32;58.42
97362;2022;563.83;377.79
