Date_naissance#Annee;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;ICF_depuis_1975__Dom_à_partir_de_2000____âge_de_la_mere_:_15_49_ans_0;Taux_de_natalite_depuis_1975__Dom_à_partir_de_2000_
Année#2022;97301 - Régina;1.748909108283168;8.459214530757711
Année#2022;97302 - Cayenne;2.9248110055288072;24.264196193043805
Année#2022;97303 - Iracoubo;3.902877184781481;21.089630847508754
Année#2022;97304 - Kourou;3.4944148352277975;25.272224805583114
Année#2022;97305 - Macouria;2.824703584551487;21.648007730296715
Année#2022;97306 - Mana;5.12385081128793;32.98197923657788
Année#2022;97307 - Matoury;3.2616772935052514;23.6426313493757
Année#2022;97308 - Saint-Georges;4.237179571551606;32.18645968747726
Année#2022;97309 - Remire-Montjoly;1.937414427411017;13.969348039694966
Année#2022;97310 - Roura;2.005007586919372;11.440305179616647
Année#2022;97311 - Saint-Laurent-du-Maroni;6.591694472669327;49.71144243557677
Année#2022;97312 - Sinnamary;3.017593543234906;16.96113083492939
Année#2022;97313 - Montsinéry-Tonnegrande;2.0722934575271417;14.567526653415696
Année#2022;97314 - Ouanary;0.0;0.0
Année#2022;97352 - Saül;0.0;0.0
Année#2022;97353 - Maripasoula;2.990465483595075;18.524572195880715
Année#2022;97356 - Camopi;4.732448309445797;34.48275843201281
Année#2022;97357 - Grand-Santi;2.9110119576650897;21.491227892636523
Année#2022;97358 - Saint-Élie;1.2485069011173238;4.149377626200455
Année#2022;97360 - Apatou;2.373520622604664;19.555917851770797
Année#2022;97361 - Awala-Yalimapo;2.5211299108055396;16.49076517150396
Année#2022;97362 - Papaichton;1.7880461132767271;12.486621508851686
;;;
;;;
Année#2023;97301 - Régina;0.973732903648572;4.2296072653788555
Année#2023;97302 - Cayenne;2.780569154825692;23.20854609893086
Année#2023;97303 - Iracoubo;3.478337739163136;19.33216161021636
Année#2023;97304 - Kourou;3.4651842829443824;25.028441286558195
Année#2023;97305 - Macouria;3.0634795097261236;23.61118490191676
Année#2023;97306 - Mana;4.4018789761842125;28.47670887694224
Année#2023;97307 - Matoury;3.0061829881980118;21.804079215280872
Année#2023;97308 - Saint-Georges;5.3080166399991295;40.39955629738525
Année#2023;97309 - Remire-Montjoly;1.8969227627822163;13.676028395816857
Année#2023;97310 - Roura;2.324352405706661;12.907010971875192
Année#2023;97311 - Saint-Laurent-du-Maroni;6.735712620692197;51.10447725162576
Année#2023;97312 - Sinnamary;3.298772094595548;18.727915296901198
Année#2023;97313 - Montsinéry-Tonnegrande;2.006529042118557;13.657056237577216
Année#2023;97314 - Ouanary;0.0;0.0
Année#2023;97352 - Saül;0.99643911612526;6.309148307690737
Année#2023;97353 - Maripasoula;3.3897587065640056;20.92186977417116
Année#2023;97356 - Camopi;4.89004462969045;36.346691320229716
Année#2023;97357 - Grand-Santi;2.6473907390976374;20.39473667362445
Année#2023;97358 - Saint-Élie;0.0;0.0
Année#2023;97360 - Apatou;2.5858201899162876;20.77816271750647
Année#2023;97361 - Awala-Yalimapo;2.120998543356503;14.511873350923484
Année#2023;97362 - Papaichton;1.9579392263185342;12.843382123390306
